4	13	Bend Her	5	13	20030720	67
TV Commentator	Welcome,games,3004,Earth,Olympiad,Continuing,network's,tradition,sports,casting,excellence,Celebrity,Ape,Fight,return,week,regular,time
Bender	mean,I'm,registered,Coilette,I'm,uh,Robonia,Coilette's,chick's
Official	Yes,Robonia,sounds,like,somebody,spot
Bender	beaten,guy,dressed,like,chick
Commentator	it's,straight,Coilette,wins
Commentator	gold,medal,spunky,maid,Robonia
Commentator	perfect,bend,flawless,entry,splash,Perfect,scores,record,gold,medals,Coilette
Bender	I'm,great,Everybody,sucks,guy,Bender,He's,really,somethin'
Female Announcer	medallists,report,gender,testing
Leela	actually,thought,they'd,let,walk,away,engine,oil,sex,check
Bender	Oh,God,I'm,gonna,medals,They're,remember,Olympic,career,Wait,I've,got,Professor,make,woman
Farnsworth	Oh,think,just,stay,friends
Bender	don't,need,friends,need,sex,change,operation
Farnsworth	Bender,robot,sex,change,complex,dangerous,procedure,Replacing,testosteroil,Fembot,lubricants,cause,wild,mood,swings,effects,irreversible,let's,started
Leela	can't
Amy	slightest,respect,dignity,women,
Bender	Pft
Farnsworth	I'm,sorry,ladies,Bender,proud,people,Robonia
Bender	C'mon
Fry	can't,watch,'cause,it's,creepy,wrong,sick,watch,curiosity
Farnsworth	Quiet,I'm,begin,process,reshaping,Bender's,body,tender,delicate,form
Farnsworth	Draining,male,oil,Infusing,female,oil,Removing,item
Robot	can't,wait,Coilette,longer,damnit,home,watch,Zombie,Osbournes
Coilette	I'm,ready,test,boys
Coilette	Hail,hail,Robonia,land,didn't,make
Coilette	Ooh,yeah,Come,baby,Boom
Coilette	Oh,yeah,baby,C'mon,Work,cans,That's,Shake
Leela	don't,know,I'm,Enraged,disgusted
Coilette	I'm,just,making,ladies,look,good
Amy	Snuh,uh,You're,making,look,like,jerks,genders
Fry	you're,really,lady,Right
Coilette	course
Farnsworth	Dear,Lord,coaster,Femzoil,sachet,ing,girlishly,processor
Coilette	change,breasts,keeping,awake,night,Hello,guest,spot,Late,Night,Humorbot,50,I'd,love,limo,don't,limo,You'd,better,send,need,rain,check,nad,swap,Professor,I'm,going,TV,C'mon,Fry,Help,pick,pantsuit
Humorbot 50	Calculon,want,set,clip,Circuits
Calculon	think,it's,self,explanatory
Calculon	Nooo
Calculon	Funny,story,script,called,say,yes,gave,little,twist
Humorbot 50	Anecdote,accepted,Snappy,comeback,hands,guest,Winner,Olympic,medals,Coilette,Robonia,Coilette,young,Fembot's,wish,emulate,advice
Coilette	Yes,Humorbot,ask,women,today,stuck,jiggle,Jello,like,everybody,wants,fact,Alright,Woo,Look,baby,Work,Ooh,shake,thing,gotta,use,lady,Shake,little,That's,right,Come,Look
Calculon	Madam,impressed,celebrity
Coilette	Oh,bet,say,five,Olympic,gold,medal,winning,Fembots
Calculon	day,forward,shall,possible
Coilette	Golly
Calculon	Coilette,presumptuous,
Coilette	That's,favourite,kind
Calculon	honoured,join,dinner
Coilette	Calculon,you'd,fulfilling,naive,Robonian,farmgirl's,fantasy
Calculon	course
Coilette	makes,look,fat,trampy,date,nude
Amy	Yes
Coilette	Perfect
Fry	gotta,tell,You're,actually,attracted,Calculon,right,don't,tell
Coilette	Certainly,just,I'd,like,eat,dinner,celebrity,isn't,bound,gagged,ask
Leela	think,dating,Manbot,disgrace,refuse,involved,way,lipstick
Coilette	kidding,need,lipstick,Ooh,yeah,That's,stuff,Men,love,really,glob
Leela	don't
Amy	way
Coilette	Oh,man,wants,tramp,wonder,girls,aren't,married,tell,men,better,women
Fry	wants,to,mean,tries,uh,Barry,White
Coilette	I'll,just,tell,need,commitment,That'll,stick,potato,tailpipe
Hermes	Good,Lord,man,kind,temporary,woman
Coilette	Look,don't,just,Can't,girl,enjoy,herself,judged
Farnsworth	Oh,dear,mood,swings,getting,wilder,She's,slave,emotions,Just,like,women,Particularly,Leela
Leela	I'm,worried,Professor
Elzar	Hey,ma'am,sure,away,saved,trip,dump,Bam
Calculon	I'd,appreciate,didn't,bam,young,lady
Elzar	I'd,appreciate,did,guess,we're
Calculon	know,Coilette,I've,met,woman,fascinating,You're,sweet,soft,Fembot,free,spirit,It's,understand,male,mind,better,I've,met,like
Coilette	Oh,yes
Calculon	Coilette,I'd,like,spend,quality,time
Coilette	Ah,Whoa,way,gonna,happen,kind,girl,think
Calculon	mentioned,world's,biggest,elegant,yacht
Coilette	Woo,I'm,trophy,girlfriend
Amy	kidding,gifts,coming,non,stop,think,Calculon's,falling
Coilette	Bah,day,he'll,dump,new,wad,arm,candy,turn,guy,hock,stuff,It's,just,game
Calculon	Coilette,can't,stop,thinking,can't,sleep,night,robot,don't,did,couldn't,love,Oh,darling,marry
Coilette	Oh,Calculon,Yes
Amy	Maybe,she's,right,lipstick
Fry	I'll,miss,buddy,You've,like,brother,sister,you're,getting,married,love,man
Coilette	marriage,scam
Fry	Cool,What's,dinner
Leela	mean,scam
Coilette	marry,Calculon,divorce,half,money,turn,guy,It's,sort,two,person,pyramid,scheme
Fry	That's,marriage,alright
Leela	unbelievably,manipulative
Coilette	Come,went,date,guy,just,'cause,hungry
Leela	uh,thought,like,stomach
Coilette	Nice,try,sister,you'll,excuse,need,meet,wedding,planner,Zoidberg,Zoidypoo,tell,frilly,year
Zoidberg	saw,frilly,cake,remember,life,know,Late,night,haunts,frosted,beauty,Order,cake,damnit
Calculon	
Coilette	remote,control,got,TV
Calculon	dearest,it's,remote,control,heart,symbolises,power,sway,emotions
Coilette	work,TV
Calculon	don't,need,TVs,Coilette,weren't,able,spend,life,leap,balloon
Coilette	Come,Really
Calculon	Yes,meant
Coilette	really,truly,love
Calculon	so,I'm,prepared,showbusiness,itself
Coilette	said,you'd,burn,convent,showbusiness
Calculon	said,things,want,peaceful,life,quiet,villa,overlooking,vineyard
Coilette	donkeys
Calculon	eat
Coilette	Oh,arms,compress,Compress,tight
Calculon	Stop,Let,climb,heavens,gods,envy
Coilette	just,don't,think,scam
Amy	
Fry	wanna,marry
Coilette	just,don't,wanna,hurt,humiliate,Oh,curse,woman's,heart
Fry	Eck
Farnsworth	You're,falling,final,debilitating,stages,womanhood,You've,waited,long,switch,ding,bat
Leela	OK,look,help,you,promise,gender,stay
Coilette	Uh,huh
Leela	Alright,there's,way,stop,marriage,hurting,Calculon,he's,actor,there's,kind,pain,handle,it's,soap,opera,pain
Leela	OK,ready
Fry	Check
Amy	Uh,huh
Hermes	Yep
Zoidberg	Basically
Preacherbot	Dearly,beloved,actors,casting,people,looking,play,preacher,welcome,bride,written,vows,pretend,interested
Coilette	Dearest,Calculon,forever,time,tell,ways,love
Hedonismbot	Oh
Calculon	doctor,the,
Zoidberg	came,soon,appears,case,African,hydraulic,fever
Calculon	Dear,God,illness,TV,character,caught,season,holding,money,It's,fatal
Coilette	happens,remember,flame,eternal,love,burn,forever
Calculon	course,smoochiepups,thought,catch,hydraulic,fever,deep,diamond,mines,Congo
Leela	Coilette,she,devil,really,thought,steal,diamonds,Congo,Jack
Coilette	gems,belong,natives
Leela	Hi,yah
Calculon	Oh,cruel,melodramatic,fate
Coilette	Calculon,darling,loud,brought,partway,life,Congo,Jack
Calculon	shocking,twist
Fry	Yes,message,Colonel,Mitumbay,says,Congo,Jack
Coilette	Uh,um
Calculon	Nooo,N,O,O,O
Coilette	won't,leave,I'm,sure,understand,thing,said,eternal,love,burning,et,cetera
Calculon	I
Coilette	OK
Zoidberg	I'm,doctor,she's,dead
Calculon	lives,let,comfort,knowing,truly,loved,honour,pain,shall,star,film,dedicated,memory,time,Academy,deny,Coilette,Calculon,Story
Calculon	Coilette,death,fills,sorrow,anger,fear,emotion,actor,display
Farnsworth	Turn,crap,o,rama,mistake,Bender,trapped,forever,ill,defined,robot,sexes
Coilette	Ow,Ooh,Ow,Oh
Fry	Bender,hope,taught,lesson,changing,sex,win,gold,medals
Coilette	truly,romance,Calculon,shown,lot,myself
Farnsworth	
Coilette	someway,could,
Bender	Drive,Vegas,pick,Flooziebots,void,warranties,night,long
Fry	Yay,buddy's,home,respect,women,normal
Leela	kind,hoped,experience,left,little,open,sensitive
Bender	Yeah,you'd,think,gonna
Calculon	Coilette,skies,weep,sweetest,flower,field
Leela	Aw
Amy	Aw
Fry	Ew
Zoidberg	Gross
Farnsworth	Sentimental,drivel,poop
Fry	C'mon,Bender,let's,chick,flick,getting,barfy
Bender	Yeah,Emotions,dumb,hated
Calculon	Goodnight,Coilette,turtle,dove
Bender	Goodnight,Calculon
Leela	did,say
Bender	said,don't,dress,trampy,got
